 Matriz A
      1.0     2.0     3.0
      4.0     5.0     6.0
      7.0     8.0     9.0
 Matriz B
      9.0     8.0     7.0
      6.0     5.0     4.0
      3.0     2.0     1.0
 Matriz C = A + B
     10.0    10.0    10.0
     10.0    10.0    10.0
     10.0    10.0    10.0
 Matriz D = A - B
     -8.0    -6.0    -4.0
     -2.0     0.0     2.0
      4.0     6.0     8.0
 Matriz TRANSPOSTA DE A
      1.0     4.0     7.0
      2.0     5.0     8.0
      3.0     6.0     9.0
 PRODUTO ENTRE A E B
     14.0    32.0    50.0
     32.0    77.0   122.0
     50.0   122.0   194.0
