 Matriz A
      0.0     4.0     6.0     8.0    10.0    12.0
      2.0     0.0     6.0     8.0    10.0    12.0
      3.0     9.0     0.0     8.0    10.0    12.0
      4.0    16.0    64.0     0.0    10.0    12.0
      5.0    25.0   125.0   625.0     0.0    12.0
      6.0    36.0   216.0  1296.0  7776.0     0.0
 Matriz B
      0.0     1.0     1.5     2.0     2.5     3.0
      1.0     0.0     1.5     2.0     2.5     3.0
      1.0     8.0     0.0     2.0     2.5     3.0
      1.0    16.0    81.0     0.0     2.5     3.0
      1.0    32.0   243.0  1024.0     0.0     3.0
      1.0    64.0   729.0  4096.0  ******     0.0
 Matriz C = A + B
      0.0     5.0     7.5    10.0    12.5    15.0
      3.0     0.0     7.5    10.0    12.5    15.0
      4.0    17.0     0.0    10.0    12.5    15.0
      5.0    32.0   145.0     0.0    12.5    15.0
      6.0    57.0   368.0  1649.0     0.0    15.0
      7.0   100.0   945.0  5392.0  ******     0.0
 Matriz D = A - B
      0.0     3.0     4.5     6.0     7.5     9.0
      1.0     0.0     4.5     6.0     7.5     9.0
      2.0     1.0     0.0     6.0     7.5     9.0
      3.0     0.0   -17.0     0.0     7.5     9.0
      4.0    -7.0  -118.0  -399.0     0.0     9.0
      5.0   -28.0  -513.0  ******  ******     0.0
 Matriz TRANSPOSTA DE A
      0.0     2.0     3.0     4.0     5.0     6.0
      4.0     0.0     9.0    16.0    25.0    36.0
      6.0     6.0     0.0    64.0   125.0   216.0
      8.0     8.0     8.0     0.0   625.0  1296.0
     10.0    10.0    10.0    10.0     0.0  7776.0
     12.0    12.0    12.0    12.0    12.0     0.0
 PRODUTO ENTRE A E B
    360.0   344.0   344.0   692.0  5994.0  ******
    344.0   348.0   314.0   636.0  5904.0  ******
    344.0   314.0   398.0   400.0  5384.0  ******
    692.0   636.0   400.0  4612.0  8564.0  ******
   5994.0  5904.0  5384.0  8564.0  ******  ******
   ******  ******  ******  ******  ******  ******
