 1 10 59
 2 59 36
 3 36 5
 4 5 30
 5 30 175
 6 175 248
 7 248 57
 8 57 178
 9 178 163
 10 163 76
 11 76 237
 12 237 198
 13 198 23
 14 23 32
 15 32 33
 16 33 90
 17 90 11
 18 11 116
 19 116 213
 20 213 110
 21 110 127
 22 127 72
 23 72 9
 24 9 2
 25 2 115
 26 115 156
 27 156 189
 28 189 22
 29 22 231
 30 231 112
 31 112 241
 32 241 170
 33 170 219
 34 219 196
 35 196 165
 36 165 190
 37 190 79
 38 79 152
 39 152 217
 40 217 82
 41 82 67
 42 67 236
 43 236 141
 44 141 102
 45 102 183
 46 183 192
 47 192 193
 48 193 250
 49 250 171
 50 171 20
 51 20 117
 52 117 14
 53 14 31
 54 31 232
 55 232 169
 56 169 162
 57 162 19
 58 19 60
 59 60 93
 60 93 182
 61 182 135
 62 135 16
 63 16 145
 64 145 74
 65 74 123
 66 123 100
 67 100 69
 68 69 94
 69 94 239
 70 239 56
 71 56 121
 72 121 242
 73 242 227
 74 227 140
 75 140 45
 76 45 6
 77 6 87
 78 87 96
 79 96 97
 80 97 154
 81 154 75
 82 75 180
 83 180 21
 84 21 174
 85 174 191
 86 191 136
 87 136 73
 88 73 66
 89 66 179
 90 179 220
 91 220 253
 92 253 86
 93 86 39
 94 39 176
 95 176 49
 96 49 234
 97 234 27
 98 27 4
 99 4 229
 100 229 254
 101 254 143
 102 143 216
 103 216 25
 104 25 146
 105 146 131
 106 131 44
 107 44 205
 108 205 166
 109 166 247
 110 247 0
 111 0 1
 112 1 58
 113 58 235
 114 235 84
 115 84 181
 116 181 78
 117 78 95
 118 95 40
 119 40 233
 120 233 226
 121 226 83
 122 83 124
 123 124 157
 124 157 246
 125 246 199
 126 199 80
 127 80 209
 128 209 138
 129 138 187
 130 187 164
 131 164 133
 132 133 158
 133 158 47
 134 47 120
 135 120 185
 136 185 50
 137 50 35
 138 35 204
 139 204 109
 140 109 70
 141 70 151
 142 151 160
 143 160 161
 144 161 218
 145 218 139
 146 139 244
 147 244 85
 148 85 238
 149 238 255
 150 255 200
 151 200 137
 152 137 130
 153 130 243
 154 243 28
 155 28 61
 156 61 150
 157 150 103
 158 103 240
 159 240 113
 160 113 42
 161 42 91
 162 91 68
 163 68 37
 164 37 62
 165 62 207
 166 207 24
 167 24 89
 168 89 210
 169 210 195
 170 195 108
 171 108 13
 172 13 230
 173 230 55
 174 55 64
 175 64 65
 176 65 122
 177 122 43
 178 43 148
 179 148 245
 180 245 142
 181 142 159
 182 159 104
 183 104 41
 184 41 34
 185 34 147
 186 147 188
 187 188 221
 188 221 54
 189 54 7
 190 7 144
 191 144 17
 192 17 202
 193 202 251
 194 251 228
 195 228 197
 196 197 222
 197 222 111
 198 111 184
 199 184 249
 200 249 114
 201 114 99
 202 99 12
 203 12 173
 204 173 134
 205 134 215
 206 215 224
 207 224 225
 208 225 26
 209 26 203
 210 203 52
 211 52 149
 212 149 46
 213 46 63
 214 63 8
 215 8 201
 216 201 194
 217 194 51
 218 51 92
 219 92 125
 220 125 214
 221 214 167
 222 167 48
 223 48 177
 224 177 106
 225 106 155
 226 155 132
 227 132 101
 228 101 126
 229 126 15
 230 15 88
 231 88 153
 232 153 18
 233 18 3
 234 3 172
 235 172 77
 236 77 38
 237 38 119
 238 119 128
 239 128 129
 240 129 186
 241 186 107
 242 107 212
 243 212 53
 244 53 206
 245 206 223
 246 223 168
 247 168 105
 248 105 98
 249 98 211
 250 211 252
 251 252 29
 252 29 118
 253 118 71
 254 71 208
 255 208 81
 256 81 10
 257 10 59
 258 59 36
 259 36 5
 260 5 30
 261 30 175
 262 175 248
 263 248 57
 264 57 178
 265 178 163
 266 163 76
 267 76 237
 268 237 198
 269 198 23
 270 23 32
 271 32 33
 272 33 90
 273 90 11
 274 11 116
 275 116 213
 276 213 110
 277 110 127
 278 127 72
 279 72 9
 280 9 2
 281 2 115
 282 115 156
 283 156 189
 284 189 22
 285 22 231
 286 231 112
 287 112 241
 288 241 170
 289 170 219
 290 219 196
 291 196 165
 292 165 190
 293 190 79
 294 79 152
 295 152 217
 296 217 82
 297 82 67
 298 67 236
 299 236 141
 300 141 102
 301 102 183
 302 183 192
 303 192 193
 304 193 250
 305 250 171
 306 171 20
 307 20 117
 308 117 14
 309 14 31
 310 31 232
 311 232 169
 312 169 162
 313 162 19
 314 19 60
 315 60 93
 316 93 182
 317 182 135
 318 135 16
 319 16 145
 320 145 74
 321 74 123
 322 123 100
 323 100 69
 324 69 94
 325 94 239
 326 239 56
 327 56 121
 328 121 242
 329 242 227
 330 227 140
 331 140 45
 332 45 6
 333 6 87
 334 87 96
 335 96 97
 336 97 154
 337 154 75
 338 75 180
 339 180 21
 340 21 174
 341 174 191
 342 191 136
 343 136 73
 344 73 66
 345 66 179
 346 179 220
 347 220 253
 348 253 86
 349 86 39
 350 39 176
 351 176 49
 352 49 234
 353 234 27
 354 27 4
 355 4 229
 356 229 254
 357 254 143
 358 143 216
 359 216 25
 360 25 146
 361 146 131
 362 131 44
 363 44 205
 364 205 166
 365 166 247
 366 247 0
 367 0 1
 368 1 58
 369 58 235
 370 235 84
 371 84 181
 372 181 78
 373 78 95
 374 95 40
 375 40 233
 376 233 226
 377 226 83
 378 83 124
 379 124 157
 380 157 246
 381 246 199
 382 199 80
 383 80 209
 384 209 138
 385 138 187
 386 187 164
 387 164 133
 388 133 158
 389 158 47
 390 47 120
 391 120 185
 392 185 50
 393 50 35
 394 35 204
 395 204 109
 396 109 70
 397 70 151
 398 151 160
 399 160 161
 400 161 218
 401 218 139
 402 139 244
 403 244 85
 404 85 238
 405 238 255
 406 255 200
 407 200 137
 408 137 130
 409 130 243
 410 243 28
 411 28 61
 412 61 150
 413 150 103
 414 103 240
 415 240 113
 416 113 42
 417 42 91
 418 91 68
 419 68 37
 420 37 62
 421 62 207
 422 207 24
 423 24 89
 424 89 210
 425 210 195
 426 195 108
 427 108 13
 428 13 230
 429 230 55
 430 55 64
 431 64 65
 432 65 122
 433 122 43
 434 43 148
 435 148 245
 436 245 142
 437 142 159
 438 159 104
 439 104 41
 440 41 34
 441 34 147
 442 147 188
 443 188 221
 444 221 54
 445 54 7
 446 7 144
 447 144 17
