-1.00 -0.90 -0.80 -0.70 -0.60 -0.50 -0.40 -0.30 -0.20 -0.10  0.00  0.10  0.20  0.30  0.40  0.50  0.60  0.70  0.80  0.90  1.00
 0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 0.00  0.02  0.03  0.05  0.06  0.08  0.09  0.10  0.11  0.12  0.12  0.12  0.11  0.10  0.09  0.08  0.06  0.05  0.03  0.02  0.00
 0.00  0.03  0.06  0.10  0.13  0.16  0.19  0.21  0.23  0.24  0.24  0.24  0.23  0.21  0.19  0.16  0.13  0.10  0.06  0.03  0.00
 0.00  0.05  0.10  0.14  0.19  0.24  0.28  0.32  0.35  0.36  0.37  0.36  0.35  0.32  0.28  0.24  0.19  0.14  0.10  0.05  0.00
 0.00  0.06  0.13  0.19  0.26  0.33  0.39  0.44  0.48  0.50  0.51  0.50  0.48  0.44  0.39  0.33  0.26  0.19  0.13  0.06  0.00
 0.00  0.08  0.16  0.24  0.33  0.41  0.50  0.58  0.63  0.65  0.66  0.65  0.63  0.58  0.50  0.41  0.33  0.24  0.16  0.08  0.00
 0.00  0.09  0.19  0.28  0.39  0.50  0.63  0.75  0.80  0.82  0.82  0.82  0.80  0.75  0.63  0.50  0.39  0.28  0.19  0.09  0.00
 0.00  0.10  0.21  0.32  0.44  0.58  0.75  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.75  0.58  0.44  0.32  0.21  0.10  0.00
 0.00  0.11  0.23  0.35  0.48  0.63  0.80  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.80  0.63  0.48  0.35  0.23  0.11  0.00
 0.00  0.12  0.24  0.36  0.50  0.65  0.82  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.82  0.65  0.50  0.36  0.24  0.12  0.00
 0.00  0.12  0.24  0.37  0.51  0.66  0.82  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.82  0.66  0.51  0.37  0.24  0.12  0.00
 0.00  0.12  0.24  0.36  0.50  0.65  0.82  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.82  0.65  0.50  0.36  0.24  0.12  0.00
 0.00  0.11  0.23  0.35  0.48  0.63  0.80  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.80  0.63  0.48  0.35  0.23  0.11  0.00
 0.00  0.10  0.21  0.32  0.44  0.58  0.75  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.75  0.58  0.44  0.32  0.21  0.10  0.00
 0.00  0.09  0.19  0.28  0.39  0.50  0.63  0.75  0.80  0.82  0.82  0.82  0.80  0.75  0.63  0.50  0.39  0.28  0.19  0.09  0.00
 0.00  0.08  0.16  0.24  0.33  0.41  0.50  0.58  0.63  0.65  0.66  0.65  0.63  0.58  0.50  0.41  0.33  0.24  0.16  0.08  0.00
 0.00  0.06  0.13  0.19  0.26  0.33  0.39  0.44  0.48  0.50  0.51  0.50  0.48  0.44  0.39  0.33  0.26  0.19  0.13  0.06  0.00
 0.00  0.05  0.10  0.14  0.19  0.24  0.28  0.32  0.35  0.36  0.37  0.36  0.35  0.32  0.28  0.24  0.19  0.14  0.10  0.05  0.00
 0.00  0.03  0.06  0.10  0.13  0.16  0.19  0.21  0.23  0.24  0.24  0.24  0.23  0.21  0.19  0.16  0.13  0.10  0.06  0.03  0.00
 0.00  0.02  0.03  0.05  0.06  0.08  0.09  0.10  0.11  0.12  0.12  0.12  0.11  0.10  0.09  0.08  0.06  0.05  0.03  0.02  0.00
 0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
